Category: All categories

Week,Tinder: (New Jersey)
2020-03-01,95
2020-03-08,85
2020-03-15,68
2020-03-22,82
2020-03-29,68
2020-04-05,78
2020-04-12,95
2020-04-19,84
2020-04-26,55
2020-05-03,68
2020-05-10,79
2020-05-17,75
2020-05-24,68
2020-05-31,53
2020-06-07,62
2020-06-14,66
2020-06-21,66
2020-06-28,93
2020-07-05,91
2020-07-12,78
2020-07-19,82
2020-07-26,79
2020-08-02,76
2020-08-09,93
2020-08-16,91
2020-08-23,72
2020-08-30,71
2020-09-06,73
2020-09-13,48
2020-09-20,74
2020-09-27,64
2020-10-04,58
2020-10-11,86
2020-10-18,94
2020-10-25,66
2020-11-01,73
2020-11-08,74
2020-11-15,55
2020-11-22,76
2020-11-29,58
2020-12-06,100
2020-12-13,63
2020-12-20,79
2020-12-27,64
2021-01-03,56
2021-01-10,80
2021-01-17,64
2021-01-24,52
2021-01-31,74
2021-02-07,39
2021-02-14,75
2021-02-21,64
2021-02-28,93
