Category: All categories

Week,Tinder: (New Mexico)
2020-03-01,79
2020-03-08,89
2020-03-15,72
2020-03-22,76
2020-03-29,53
2020-04-05,100
2020-04-12,39
2020-04-19,79
2020-04-26,74
2020-05-03,40
2020-05-10,58
2020-05-17,65
2020-05-24,85
2020-05-31,46
2020-06-07,47
2020-06-14,60
2020-06-21,92
2020-06-28,55
2020-07-05,61
2020-07-12,43
2020-07-19,44
2020-07-26,94
2020-08-02,62
2020-08-09,61
2020-08-16,82
2020-08-23,86
2020-08-30,47
2020-09-06,54
2020-09-13,64
2020-09-20,60
2020-09-27,38
2020-10-04,45
2020-10-11,89
2020-10-18,41
2020-10-25,69
2020-11-01,29
2020-11-08,39
2020-11-15,61
2020-11-22,51
2020-11-29,47
2020-12-06,90
2020-12-13,49
2020-12-20,75
2020-12-27,14
2021-01-03,84
2021-01-10,27
2021-01-17,41
2021-01-24,82
2021-01-31,35
2021-02-07,49
2021-02-14,84
2021-02-21,57
2021-02-28,53
