Category: All categories

Week,Tinder: (New York)
2020-03-01,73
2020-03-08,76
2020-03-15,69
2020-03-22,93
2020-03-29,82
2020-04-05,80
2020-04-12,77
2020-04-19,77
2020-04-26,73
2020-05-03,76
2020-05-10,72
2020-05-17,70
2020-05-24,72
2020-05-31,63
2020-06-07,80
2020-06-14,81
2020-06-21,78
2020-06-28,94
2020-07-05,87
2020-07-12,74
2020-07-19,89
2020-07-26,85
2020-08-02,81
2020-08-09,85
2020-08-16,96
2020-08-23,90
2020-08-30,94
2020-09-06,89
2020-09-13,93
2020-09-20,79
2020-09-27,77
2020-10-04,71
2020-10-11,81
2020-10-18,72
2020-10-25,80
2020-11-01,59
2020-11-08,79
2020-11-15,94
2020-11-22,75
2020-11-29,82
2020-12-06,87
2020-12-13,76
2020-12-20,72
2020-12-27,83
2021-01-03,64
2021-01-10,64
2021-01-17,80
2021-01-24,73
2021-01-31,71
2021-02-07,90
2021-02-14,82
2021-02-21,66
2021-02-28,100
