Category: All categories

Week,Tinder: (North Carolina)
2020-03-01,47
2020-03-08,68
2020-03-15,51
2020-03-22,46
2020-03-29,69
2020-04-05,71
2020-04-12,72
2020-04-19,57
2020-04-26,63
2020-05-03,55
2020-05-10,46
2020-05-17,62
2020-05-24,69
2020-05-31,56
2020-06-07,49
2020-06-14,56
2020-06-21,65
2020-06-28,58
2020-07-05,73
2020-07-12,64
2020-07-19,61
2020-07-26,64
2020-08-02,54
2020-08-09,64
2020-08-16,68
2020-08-23,65
2020-08-30,57
2020-09-06,46
2020-09-13,57
2020-09-20,50
2020-09-27,63
2020-10-04,54
2020-10-11,69
2020-10-18,69
2020-10-25,100
2020-11-01,48
2020-11-08,67
2020-11-15,52
2020-11-22,63
2020-11-29,54
2020-12-06,68
2020-12-13,70
2020-12-20,52
2020-12-27,55
2021-01-03,69
2021-01-10,58
2021-01-17,76
2021-01-24,50
2021-01-31,46
2021-02-07,37
2021-02-14,48
2021-02-21,53
2021-02-28,52
