Category: All categories

Week,Tinder: (North Dakota)
2020-03-01,37
2020-03-08,9
2020-03-15,18
2020-03-22,42
2020-03-29,32
2020-04-05,41
2020-04-12,16
2020-04-19,41
2020-04-26,75
2020-05-03,49
2020-05-10,69
2020-05-17,28
2020-05-24,68
2020-05-31,56
2020-06-07,28
2020-06-14,29
2020-06-21,51
2020-06-28,21
2020-07-05,31
2020-07-12,62
2020-07-19,41
2020-07-26,63
2020-08-02,51
2020-08-09,30
2020-08-16,10
2020-08-23,76
2020-08-30,37
2020-09-06,85
2020-09-13,45
2020-09-20,55
2020-09-27,0
2020-10-04,59
2020-10-11,21
2020-10-18,51
2020-10-25,100
2020-11-01,25
2020-11-08,68
2020-11-15,50
2020-11-22,41
2020-11-29,39
2020-12-06,29
2020-12-13,80
2020-12-20,23
2020-12-27,33
2021-01-03,40
2021-01-10,59
2021-01-17,20
2021-01-24,70
2021-01-31,40
2021-02-07,39
2021-02-14,31
2021-02-21,40
2021-02-28,0
