Category: All categories

Week,Tinder: (Ohio)
2020-03-01,61
2020-03-08,76
2020-03-15,73
2020-03-22,59
2020-03-29,74
2020-04-05,73
2020-04-12,83
2020-04-19,59
2020-04-26,57
2020-05-03,67
2020-05-10,84
2020-05-17,69
2020-05-24,73
2020-05-31,76
2020-06-07,78
2020-06-14,61
2020-06-21,100
2020-06-28,86
2020-07-05,68
2020-07-12,65
2020-07-19,79
2020-07-26,69
2020-08-02,71
2020-08-09,90
2020-08-16,67
2020-08-23,89
2020-08-30,79
2020-09-06,79
2020-09-13,71
2020-09-20,72
2020-09-27,75
2020-10-04,66
2020-10-11,100
2020-10-18,85
2020-10-25,82
2020-11-01,56
2020-11-08,74
2020-11-15,77
2020-11-22,76
2020-11-29,79
2020-12-06,86
2020-12-13,77
2020-12-20,59
2020-12-27,76
2021-01-03,71
2021-01-10,73
2021-01-17,59
2021-01-24,62
2021-01-31,77
2021-02-07,58
2021-02-14,82
2021-02-21,78
2021-02-28,72
