Category: All categories

Week,Tinder: (Oklahoma)
2020-03-01,59
2020-03-08,66
2020-03-15,35
2020-03-22,78
2020-03-29,52
2020-04-05,75
2020-04-12,53
2020-04-19,94
2020-04-26,76
2020-05-03,76
2020-05-10,86
2020-05-17,51
2020-05-24,81
2020-05-31,67
2020-06-07,21
2020-06-14,72
2020-06-21,88
2020-06-28,67
2020-07-05,65
2020-07-12,59
2020-07-19,50
2020-07-26,64
2020-08-02,46
2020-08-09,59
2020-08-16,97
2020-08-23,88
2020-08-30,41
2020-09-06,64
2020-09-13,76
2020-09-20,47
2020-09-27,73
2020-10-04,55
2020-10-11,51
2020-10-18,65
2020-10-25,66
2020-11-01,50
2020-11-08,90
2020-11-15,53
2020-11-22,49
2020-11-29,42
2020-12-06,100
2020-12-13,92
2020-12-20,42
2020-12-27,43
2021-01-03,64
2021-01-10,61
2021-01-17,76
2021-01-24,37
2021-01-31,52
2021-02-07,69
2021-02-14,57
2021-02-21,52
2021-02-28,36
