Category: All categories

Week,Tinder: (Oregon)
2020-03-01,70
2020-03-08,42
2020-03-15,74
2020-03-22,70
2020-03-29,54
2020-04-05,88
2020-04-12,57
2020-04-19,68
2020-04-26,56
2020-05-03,83
2020-05-10,72
2020-05-17,36
2020-05-24,71
2020-05-31,56
2020-06-07,61
2020-06-14,78
2020-06-21,61
2020-06-28,69
2020-07-05,74
2020-07-12,89
2020-07-19,79
2020-07-26,49
2020-08-02,93
2020-08-09,81
2020-08-16,77
2020-08-23,46
2020-08-30,61
2020-09-06,49
2020-09-13,62
2020-09-20,68
2020-09-27,80
2020-10-04,64
2020-10-11,97
2020-10-18,84
2020-10-25,50
2020-11-01,48
2020-11-08,79
2020-11-15,61
2020-11-22,49
2020-11-29,67
2020-12-06,100
2020-12-13,72
2020-12-20,66
2020-12-27,42
2021-01-03,71
2021-01-10,54
2021-01-17,48
2021-01-24,47
2021-01-31,53
2021-02-07,54
2021-02-14,50
2021-02-21,68
2021-02-28,25
