Category: All categories

Week,Tinder: (South Carolina)
2020-03-01,35
2020-03-08,50
2020-03-15,59
2020-03-22,74
2020-03-29,95
2020-04-05,51
2020-04-12,87
2020-04-19,86
2020-04-26,66
2020-05-03,80
2020-05-10,67
2020-05-17,92
2020-05-24,76
2020-05-31,67
2020-06-07,56
2020-06-14,84
2020-06-21,52
2020-06-28,83
2020-07-05,87
2020-07-12,66
2020-07-19,74
2020-07-26,71
2020-08-02,70
2020-08-09,66
2020-08-16,85
2020-08-23,78
2020-08-30,88
2020-09-06,49
2020-09-13,82
2020-09-20,91
2020-09-27,73
2020-10-04,89
2020-10-11,71
2020-10-18,87
2020-10-25,70
2020-11-01,92
2020-11-08,74
2020-11-15,49
2020-11-22,78
2020-11-29,78
2020-12-06,79
2020-12-13,100
2020-12-20,75
2020-12-27,54
2021-01-03,79
2021-01-10,72
2021-01-17,74
2021-01-24,95
2021-01-31,77
2021-02-07,99
2021-02-14,59
2021-02-21,63
2021-02-28,89
