Category: All categories

Week,Tinder: (South Dakota)
2020-03-01,47
2020-03-08,56
2020-03-15,37
2020-03-22,8
2020-03-29,33
2020-04-05,34
2020-04-12,41
2020-04-19,34
2020-04-26,43
2020-05-03,34
2020-05-10,44
2020-05-17,38
2020-05-24,39
2020-05-31,46
2020-06-07,28
2020-06-14,56
2020-06-21,58
2020-06-28,100
2020-07-05,40
2020-07-12,59
2020-07-19,30
2020-07-26,30
2020-08-02,49
2020-08-09,29
2020-08-16,38
2020-08-23,45
2020-08-30,45
2020-09-06,54
2020-09-13,35
2020-09-20,35
2020-09-27,28
2020-10-04,20
2020-10-11,85
2020-10-18,52
2020-10-25,42
2020-11-01,9
2020-11-08,59
2020-11-15,20
2020-11-22,52
2020-11-29,30
2020-12-06,63
2020-12-13,64
2020-12-20,34
2020-12-27,32
2021-01-03,40
2021-01-10,50
2021-01-17,30
2021-01-24,31
2021-01-31,51
2021-02-07,21
2021-02-14,72
2021-02-21,0
2021-02-28,0
