Category: All categories

Week,Tinder: (Tennessee)
2020-03-01,50
2020-03-08,40
2020-03-15,62
2020-03-22,77
2020-03-29,77
2020-04-05,79
2020-04-12,76
2020-04-19,72
2020-04-26,58
2020-05-03,72
2020-05-10,59
2020-05-17,77
2020-05-24,58
2020-05-31,63
2020-06-07,55
2020-06-14,72
2020-06-21,45
2020-06-28,58
2020-07-05,97
2020-07-12,78
2020-07-19,67
2020-07-26,75
2020-08-02,70
2020-08-09,67
2020-08-16,66
2020-08-23,61
2020-08-30,68
2020-09-06,57
2020-09-13,81
2020-09-20,63
2020-09-27,71
2020-10-04,73
2020-10-11,65
2020-10-18,57
2020-10-25,63
2020-11-01,70
2020-11-08,80
2020-11-15,100
2020-11-22,74
2020-11-29,90
2020-12-06,59
2020-12-13,57
2020-12-20,48
2020-12-27,57
2021-01-03,72
2021-01-10,63
2021-01-17,63
2021-01-24,48
2021-01-31,69
2021-02-07,73
2021-02-14,61
2021-02-21,72
2021-02-28,36
