Category: All categories

Week,Tinder: (Texas)
2020-03-01,77
2020-03-08,67
2020-03-15,79
2020-03-22,84
2020-03-29,81
2020-04-05,89
2020-04-12,82
2020-04-19,88
2020-04-26,76
2020-05-03,64
2020-05-10,67
2020-05-17,69
2020-05-24,81
2020-05-31,73
2020-06-07,85
2020-06-14,72
2020-06-21,95
2020-06-28,100
2020-07-05,80
2020-07-12,80
2020-07-19,99
2020-07-26,83
2020-08-02,91
2020-08-09,86
2020-08-16,84
2020-08-23,81
2020-08-30,72
2020-09-06,77
2020-09-13,59
2020-09-20,73
2020-09-27,80
2020-10-04,81
2020-10-11,79
2020-10-18,67
2020-10-25,73
2020-11-01,60
2020-11-08,82
2020-11-15,80
2020-11-22,74
2020-11-29,76
2020-12-06,82
2020-12-13,80
2020-12-20,85
2020-12-27,75
2021-01-03,74
2021-01-10,67
2021-01-17,69
2021-01-24,72
2021-01-31,84
2021-02-07,61
2021-02-14,74
2021-02-21,65
2021-02-28,70
