Category: All categories

Week,Tinder: (Utah)
2020-03-01,61
2020-03-08,34
2020-03-15,30
2020-03-22,50
2020-03-29,35
2020-04-05,64
2020-04-12,49
2020-04-19,32
2020-04-26,46
2020-05-03,57
2020-05-10,48
2020-05-17,40
2020-05-24,100
2020-05-31,21
2020-06-07,71
2020-06-14,42
2020-06-21,56
2020-06-28,66
2020-07-05,54
2020-07-12,54
2020-07-19,17
2020-07-26,48
2020-08-02,57
2020-08-09,37
2020-08-16,67
2020-08-23,45
2020-08-30,59
2020-09-06,52
2020-09-13,40
2020-09-20,53
2020-09-27,64
2020-10-04,59
2020-10-11,65
2020-10-18,54
2020-10-25,45
2020-11-01,51
2020-11-08,60
2020-11-15,77
2020-11-22,64
2020-11-29,44
2020-12-06,74
2020-12-13,65
2020-12-20,32
2020-12-27,64
2021-01-03,61
2021-01-10,40
2021-01-17,58
2021-01-24,32
2021-01-31,43
2021-02-07,73
2021-02-14,77
2021-02-21,43
2021-02-28,54
