Category: All categories

Week,Tinder: (Vermont)
2020-03-01,79
2020-03-08,23
2020-03-15,32
2020-03-22,40
2020-03-29,19
2020-04-05,29
2020-04-12,29
2020-04-19,50
2020-04-26,59
2020-05-03,10
2020-05-10,41
2020-05-17,21
2020-05-24,53
2020-05-31,51
2020-06-07,85
2020-06-14,34
2020-06-21,45
2020-06-28,77
2020-07-05,67
2020-07-12,34
2020-07-19,80
2020-07-26,80
2020-08-02,100
2020-08-09,45
2020-08-16,79
2020-08-23,98
2020-08-30,43
2020-09-06,44
2020-09-13,21
2020-09-20,22
2020-09-27,67
2020-10-04,80
2020-10-11,39
2020-10-18,93
2020-10-25,66
2020-11-01,32
2020-11-08,64
2020-11-15,91
2020-11-22,39
2020-11-29,26
2020-12-06,13
2020-12-13,13
2020-12-20,67
2020-12-27,24
2021-01-03,24
2021-01-10,50
2021-01-17,38
2021-01-24,38
2021-01-31,25
2021-02-07,38
2021-02-14,49
2021-02-21,0
2021-02-28,0
