Category: All categories

Week,Tinder: (Virginia)
2020-03-01,42
2020-03-08,38
2020-03-15,50
2020-03-22,43
2020-03-29,43
2020-04-05,52
2020-04-12,58
2020-04-19,39
2020-04-26,44
2020-05-03,42
2020-05-10,35
2020-05-17,48
2020-05-24,34
2020-05-31,41
2020-06-07,38
2020-06-14,54
2020-06-21,44
2020-06-28,51
2020-07-05,54
2020-07-12,64
2020-07-19,56
2020-07-26,40
2020-08-02,47
2020-08-09,40
2020-08-16,42
2020-08-23,44
2020-08-30,59
2020-09-06,45
2020-09-13,42
2020-09-20,41
2020-09-27,45
2020-10-04,46
2020-10-11,43
2020-10-18,49
2020-10-25,51
2020-11-01,38
2020-11-08,44
2020-11-15,49
2020-11-22,52
2020-11-29,38
2020-12-06,59
2020-12-13,45
2020-12-20,48
2020-12-27,42
2021-01-03,44
2021-01-10,43
2021-01-17,45
2021-01-24,37
2021-01-31,38
2021-02-07,48
2021-02-14,44
2021-02-21,39
2021-02-28,100
