Category: All categories

Week,Tinder: (West Virginia)
2020-03-01,56
2020-03-08,58
2020-03-15,42
2020-03-22,40
2020-03-29,46
2020-04-05,54
2020-04-12,38
2020-04-19,38
2020-04-26,32
2020-05-03,39
2020-05-10,21
2020-05-17,41
2020-05-24,50
2020-05-31,36
2020-06-07,65
2020-06-14,51
2020-06-21,75
2020-06-28,93
2020-07-05,38
2020-07-12,54
2020-07-19,38
2020-07-26,54
2020-08-02,46
2020-08-09,45
2020-08-16,100
2020-08-23,82
2020-08-30,82
2020-09-06,68
2020-09-13,36
2020-09-20,37
2020-09-27,37
2020-10-04,46
2020-10-11,63
2020-10-18,24
2020-10-25,47
2020-11-01,58
2020-11-08,37
2020-11-15,68
2020-11-22,32
2020-11-29,22
2020-12-06,37
2020-12-13,60
2020-12-20,57
2020-12-27,38
2021-01-03,28
2021-01-10,29
2021-01-17,36
2021-01-24,36
2021-01-31,36
2021-02-07,29
2021-02-14,30
2021-02-21,45
2021-02-28,57
