Category: All categories

Week,Tinder: (California)
2020-03-01,80
2020-03-08,75
2020-03-15,77
2020-03-22,72
2020-03-29,100
2020-04-05,83
2020-04-12,85
2020-04-19,88
2020-04-26,89
2020-05-03,74
2020-05-10,78
2020-05-17,73
2020-05-24,95
2020-05-31,78
2020-06-07,82
2020-06-14,87
2020-06-21,90
2020-06-28,87
2020-07-05,87
2020-07-12,82
2020-07-19,79
2020-07-26,87
2020-08-02,81
2020-08-09,90
2020-08-16,71
2020-08-23,81
2020-08-30,73
2020-09-06,81
2020-09-13,79
2020-09-20,73
2020-09-27,85
2020-10-04,90
2020-10-11,84
2020-10-18,86
2020-10-25,77
2020-11-01,66
2020-11-08,82
2020-11-15,87
2020-11-22,63
2020-11-29,95
2020-12-06,80
2020-12-13,71
2020-12-20,82
2020-12-27,79
2021-01-03,82
2021-01-10,84
2021-01-17,85
2021-01-24,75
2021-01-31,73
2021-02-07,68
2021-02-14,79
2021-02-21,70
2021-02-28,78
