Category: All categories

Week,Tinder: (Florida)
2020-03-01,76
2020-03-08,68
2020-03-15,86
2020-03-22,73
2020-03-29,85
2020-04-05,77
2020-04-12,80
2020-04-19,70
2020-04-26,82
2020-05-03,92
2020-05-10,79
2020-05-17,87
2020-05-24,76
2020-05-31,90
2020-06-07,81
2020-06-14,92
2020-06-21,91
2020-06-28,89
2020-07-05,93
2020-07-12,100
2020-07-19,78
2020-07-26,96
2020-08-02,72
2020-08-09,78
2020-08-16,94
2020-08-23,69
2020-08-30,80
2020-09-06,90
2020-09-13,73
2020-09-20,85
2020-09-27,77
2020-10-04,100
2020-10-11,83
2020-10-18,77
2020-10-25,85
2020-11-01,66
2020-11-08,61
2020-11-15,95
2020-11-22,64
2020-11-29,69
2020-12-06,85
2020-12-13,72
2020-12-20,75
2020-12-27,77
2021-01-03,82
2021-01-10,69
2021-01-17,74
2021-01-24,78
2021-01-31,83
2021-02-07,61
2021-02-14,68
2021-02-21,67
2021-02-28,89
