Category: All categories

Week,covid date: (United States)
2020-03-01,2
2020-03-08,17
2020-03-15,39
2020-03-22,65
2020-03-29,81
2020-04-05,100
2020-04-12,85
2020-04-19,63
2020-04-26,66
2020-05-03,52
2020-05-10,55
2020-05-17,54
2020-05-24,43
2020-05-31,42
2020-06-07,39
2020-06-14,49
2020-06-21,46
2020-06-28,54
2020-07-05,48
2020-07-12,56
2020-07-19,44
2020-07-26,56
2020-08-02,47
2020-08-09,45
2020-08-16,39
2020-08-23,36
2020-08-30,35
2020-09-06,34
2020-09-13,34
2020-09-20,27
2020-09-27,39
2020-10-04,38
2020-10-11,36
2020-10-18,33
2020-10-25,37
2020-11-01,34
2020-11-08,53
2020-11-15,62
2020-11-22,46
2020-11-29,47
2020-12-06,57
2020-12-13,47
2020-12-20,47
2020-12-27,59
2021-01-03,56
2021-01-10,53
2021-01-17,61
2021-01-24,53
2021-01-31,43
2021-02-07,40
2021-02-14,37
2021-02-21,42
2021-02-28,33
