Category: All categories

Week,online dating: (United States)
2020-03-01,64
2020-03-08,52
2020-03-15,72
2020-03-22,87
2020-03-29,83
2020-04-05,81
2020-04-12,92
2020-04-19,91
2020-04-26,77
2020-05-03,91
2020-05-10,76
2020-05-17,86
2020-05-24,71
2020-05-31,83
2020-06-07,77
2020-06-14,74
2020-06-21,80
2020-06-28,77
2020-07-05,90
2020-07-12,78
2020-07-19,82
2020-07-26,74
2020-08-02,65
2020-08-09,86
2020-08-16,92
2020-08-23,87
2020-08-30,85
2020-09-06,95
2020-09-13,96
2020-09-20,81
2020-09-27,75
2020-10-04,75
2020-10-11,83
2020-10-18,81
2020-10-25,68
2020-11-01,66
2020-11-08,81
2020-11-15,64
2020-11-22,90
2020-11-29,71
2020-12-06,71
2020-12-13,66
2020-12-20,59
2020-12-27,72
2021-01-03,67
2021-01-10,76
2021-01-17,72
2021-01-24,72
2021-01-31,75
2021-02-07,67
2021-02-14,67
2021-02-21,71
2021-02-28,100
