Category: All categories

Week,Online dating application: (United States)
2020-03-01,83
2020-03-08,79
2020-03-15,68
2020-03-22,80
2020-03-29,69
2020-04-05,81
2020-04-12,80
2020-04-19,81
2020-04-26,81
2020-05-03,72
2020-05-10,80
2020-05-17,81
2020-05-24,81
2020-05-31,77
2020-06-07,89
2020-06-14,83
2020-06-21,82
2020-06-28,93
2020-07-05,96
2020-07-12,87
2020-07-19,85
2020-07-26,86
2020-08-02,83
2020-08-09,88
2020-08-16,78
2020-08-23,83
2020-08-30,82
2020-09-06,85
2020-09-13,90
2020-09-20,78
2020-09-27,81
2020-10-04,74
2020-10-11,85
2020-10-18,92
2020-10-25,86
2020-11-01,73
2020-11-08,85
2020-11-15,90
2020-11-22,94
2020-11-29,81
2020-12-06,81
2020-12-13,83
2020-12-20,82
2020-12-27,100
2021-01-03,92
2021-01-10,85
2021-01-17,87
2021-01-24,90
2021-01-31,82
2021-02-07,93
2021-02-14,99
2021-02-21,88
2021-02-28,100
