Category: All categories

Week,covid date: (Alabama)
2020-03-01,0
2020-03-08,0
2020-03-15,12
2020-03-22,0
2020-03-29,47
2020-04-05,71
2020-04-12,45
2020-04-19,77
2020-04-26,45
2020-05-03,11
2020-05-10,12
2020-05-17,48
2020-05-24,24
2020-05-31,35
2020-06-07,12
2020-06-14,24
2020-06-21,36
2020-06-28,51
2020-07-05,13
2020-07-12,13
2020-07-19,51
2020-07-26,25
2020-08-02,25
2020-08-09,25
2020-08-16,24
2020-08-23,46
2020-08-30,23
2020-09-06,12
2020-09-13,0
2020-09-20,12
2020-09-27,13
2020-10-04,51
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,36
2020-11-08,0
2020-11-15,0
2020-11-22,14
2020-11-29,39
2020-12-06,13
2020-12-13,14
2020-12-20,14
2020-12-27,26
2021-01-03,25
2021-01-10,26
2021-01-17,0
2021-01-24,13
2021-01-31,13
2021-02-07,13
2021-02-14,0
2021-02-21,40
2021-02-28,100
