Category: All categories

Week,covid date: (Alaska)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,73
2020-04-12,36
2020-04-19,36
2020-04-26,74
2020-05-03,38
2020-05-10,0
2020-05-17,40
2020-05-24,41
2020-05-31,41
2020-06-07,84
2020-06-14,42
2020-06-21,43
2020-06-28,0
2020-07-05,0
2020-07-12,43
2020-07-19,0
2020-07-26,88
2020-08-02,43
2020-08-09,0
2020-08-16,44
2020-08-23,0
2020-08-30,41
2020-09-06,43
2020-09-13,83
2020-09-20,42
2020-09-27,0
2020-10-04,46
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,48
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,47
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,50
2021-02-07,0
2021-02-14,0
2021-02-21,100
2021-02-28,0
