Category: All categories

Week,covid date: (Arizona)
2020-03-01,0
2020-03-08,8
2020-03-15,15
2020-03-22,67
2020-03-29,22
2020-04-05,37
2020-04-12,29
2020-04-19,43
2020-04-26,80
2020-05-03,15
2020-05-10,75
2020-05-17,38
2020-05-24,8
2020-05-31,22
2020-06-07,30
2020-06-14,30
2020-06-21,46
2020-06-28,32
2020-07-05,58
2020-07-12,32
2020-07-19,41
2020-07-26,24
2020-08-02,46
2020-08-09,38
2020-08-16,0
2020-08-23,22
2020-08-30,30
2020-09-06,16
2020-09-13,30
2020-09-20,23
2020-09-27,25
2020-10-04,26
2020-10-11,37
2020-10-18,9
2020-10-25,37
2020-11-01,29
2020-11-08,70
2020-11-15,44
2020-11-22,18
2020-11-29,34
2020-12-06,34
2020-12-13,27
2020-12-20,19
2020-12-27,73
2021-01-03,34
2021-01-10,34
2021-01-17,100
2021-01-24,25
2021-01-31,17
2021-02-07,25
2021-02-14,35
2021-02-21,17
2021-02-28,64
