Category: All categories

Week,covid date: (California)
2020-03-01,4
2020-03-08,7
2020-03-15,41
2020-03-22,46
2020-03-29,92
2020-04-05,100
2020-04-12,89
2020-04-19,100
2020-04-26,94
2020-05-03,57
2020-05-10,85
2020-05-17,58
2020-05-24,64
2020-05-31,54
2020-06-07,34
2020-06-14,39
2020-06-21,50
2020-06-28,68
2020-07-05,56
2020-07-12,81
2020-07-19,50
2020-07-26,53
2020-08-02,55
2020-08-09,72
2020-08-16,39
2020-08-23,44
2020-08-30,36
2020-09-06,41
2020-09-13,46
2020-09-20,29
2020-09-27,32
2020-10-04,39
2020-10-11,49
2020-10-18,43
2020-10-25,50
2020-11-01,37
2020-11-08,65
2020-11-15,81
2020-11-22,52
2020-11-29,61
2020-12-06,63
2020-12-13,72
2020-12-20,49
2020-12-27,66
2021-01-03,90
2021-01-10,67
2021-01-17,73
2021-01-24,77
2021-01-31,54
2021-02-07,40
2021-02-14,28
2021-02-21,37
2021-02-28,66
