Category: All categories

Week,covid date: (Colorado)
2020-03-01,8
2020-03-08,7
2020-03-15,22
2020-03-22,51
2020-03-29,42
2020-04-05,86
2020-04-12,55
2020-04-19,56
2020-04-26,77
2020-05-03,91
2020-05-10,22
2020-05-17,22
2020-05-24,0
2020-05-31,29
2020-06-07,30
2020-06-14,30
2020-06-21,60
2020-06-28,23
2020-07-05,39
2020-07-12,38
2020-07-19,46
2020-07-26,30
2020-08-02,15
2020-08-09,30
2020-08-16,44
2020-08-23,14
2020-08-30,29
2020-09-06,15
2020-09-13,14
2020-09-20,22
2020-09-27,8
2020-10-04,33
2020-10-11,9
2020-10-18,27
2020-10-25,26
2020-11-01,22
2020-11-08,33
2020-11-15,26
2020-11-22,98
2020-11-29,34
2020-12-06,100
2020-12-13,51
2020-12-20,18
2020-12-27,26
2021-01-03,33
2021-01-10,58
2021-01-17,25
2021-01-24,82
2021-01-31,34
2021-02-07,17
2021-02-14,26
2021-02-21,34
2021-02-28,0
