Category: All categories

Week,covid date: (Connecticut)
2020-03-01,0
2020-03-08,0
2020-03-15,24
2020-03-22,22
2020-03-29,32
2020-04-05,44
2020-04-12,33
2020-04-19,74
2020-04-26,53
2020-05-03,43
2020-05-10,44
2020-05-17,11
2020-05-24,68
2020-05-31,0
2020-06-07,11
2020-06-14,24
2020-06-21,36
2020-06-28,49
2020-07-05,24
2020-07-12,37
2020-07-19,37
2020-07-26,49
2020-08-02,0
2020-08-09,26
2020-08-16,38
2020-08-23,25
2020-08-30,24
2020-09-06,48
2020-09-13,23
2020-09-20,47
2020-09-27,0
2020-10-04,64
2020-10-11,28
2020-10-18,28
2020-10-25,70
2020-11-01,12
2020-11-08,27
2020-11-15,54
2020-11-22,83
2020-11-29,53
2020-12-06,66
2020-12-13,41
2020-12-20,28
2020-12-27,14
2021-01-03,52
2021-01-10,26
2021-01-17,13
2021-01-24,13
2021-01-31,13
2021-02-07,27
2021-02-14,14
2021-02-21,40
2021-02-28,100
