Category: All categories

Week,covid date: (District of Columbia)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,30
2020-04-19,89
2020-04-26,0
2020-05-03,59
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,63
2020-06-14,32
2020-06-21,33
2020-06-28,71
2020-07-05,0
2020-07-12,34
2020-07-19,0
2020-07-26,34
2020-08-02,0
2020-08-09,69
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,34
2020-09-13,0
2020-09-20,33
2020-09-27,33
2020-10-04,36
2020-10-11,40
2020-10-18,0
2020-10-25,0
2020-11-01,34
2020-11-08,0
2020-11-15,0
2020-11-22,45
2020-11-29,0
2020-12-06,38
2020-12-13,0
2020-12-20,100
2020-12-27,0
2021-01-03,40
2021-01-10,0
2021-01-17,41
2021-01-24,39
2021-01-31,0
2021-02-07,39
2021-02-14,40
2021-02-21,0
2021-02-28,0
