Category: All categories

Week,covid date: (Florida)
2020-03-01,4
2020-03-08,7
2020-03-15,50
2020-03-22,36
2020-03-29,80
2020-04-05,100
2020-04-12,74
2020-04-19,57
2020-04-26,52
2020-05-03,55
2020-05-10,24
2020-05-17,45
2020-05-24,25
2020-05-31,28
2020-06-07,35
2020-06-14,54
2020-06-21,33
2020-06-28,38
2020-07-05,88
2020-07-12,74
2020-07-19,50
2020-07-26,43
2020-08-02,43
2020-08-09,58
2020-08-16,31
2020-08-23,26
2020-08-30,30
2020-09-06,15
2020-09-13,15
2020-09-20,22
2020-09-27,19
2020-10-04,35
2020-10-11,33
2020-10-18,12
2020-10-25,25
2020-11-01,10
2020-11-08,46
2020-11-15,36
2020-11-22,25
2020-11-29,27
2020-12-06,36
2020-12-13,49
2020-12-20,21
2020-12-27,49
2021-01-03,50
2021-01-10,61
2021-01-17,46
2021-01-24,66
2021-01-31,27
2021-02-07,45
2021-02-14,23
2021-02-21,39
2021-02-28,30
