Category: All categories

Week,covid date: (Hawaii)
2020-03-01,0
2020-03-08,16
2020-03-15,0
2020-03-22,48
2020-03-29,32
2020-04-05,32
2020-04-12,15
2020-04-19,16
2020-04-26,16
2020-05-03,0
2020-05-10,16
2020-05-17,0
2020-05-24,17
2020-05-31,17
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,19
2020-07-05,18
2020-07-12,0
2020-07-19,19
2020-07-26,18
2020-08-02,73
2020-08-09,0
2020-08-16,17
2020-08-23,0
2020-08-30,32
2020-09-06,16
2020-09-13,0
2020-09-20,33
2020-09-27,18
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,21
2020-11-01,17
2020-11-08,39
2020-11-15,0
2020-11-22,39
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,40
2021-01-17,39
2021-01-24,39
2021-01-31,0
2021-02-07,100
2021-02-14,39
2021-02-21,20
2021-02-28,0
