Category: All categories

Week,covid date: (Idaho)
2020-03-01,0
2020-03-08,0
2020-03-15,26
2020-03-22,51
2020-03-29,24
2020-04-05,74
2020-04-12,0
2020-04-19,73
2020-04-26,98
2020-05-03,74
2020-05-10,25
2020-05-17,100
2020-05-24,27
2020-05-31,26
2020-06-07,26
2020-06-14,0
2020-06-21,83
2020-06-28,28
2020-07-05,0
2020-07-12,28
2020-07-19,28
2020-07-26,28
2020-08-02,28
2020-08-09,29
2020-08-16,83
2020-08-23,27
2020-08-30,27
2020-09-06,0
2020-09-13,25
2020-09-20,27
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,63
2020-11-01,0
2020-11-08,88
2020-11-15,30
2020-11-22,0
2020-11-29,30
2020-12-06,0
2020-12-13,31
2020-12-20,0
2020-12-27,31
2021-01-03,0
2021-01-10,30
2021-01-17,30
2021-01-24,30
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,91
2021-02-28,0
