Category: All categories

Week,covid date: (Illinois)
2020-03-01,4
2020-03-08,8
2020-03-15,42
2020-03-22,63
2020-03-29,88
2020-04-05,90
2020-04-12,100
2020-04-19,62
2020-04-26,64
2020-05-03,27
2020-05-10,42
2020-05-17,43
2020-05-24,45
2020-05-31,24
2020-06-07,40
2020-06-14,38
2020-06-21,17
2020-06-28,43
2020-07-05,30
2020-07-12,39
2020-07-19,39
2020-07-26,43
2020-08-02,47
2020-08-09,34
2020-08-16,30
2020-08-23,44
2020-08-30,20
2020-09-06,36
2020-09-13,24
2020-09-20,20
2020-09-27,25
2020-10-04,27
2020-10-11,34
2020-10-18,43
2020-10-25,29
2020-11-01,36
2020-11-08,42
2020-11-15,14
2020-11-22,38
2020-11-29,60
2020-12-06,55
2020-12-13,43
2020-12-20,36
2020-12-27,25
2021-01-03,36
2021-01-10,61
2021-01-17,55
2021-01-24,33
2021-01-31,10
2021-02-07,28
2021-02-14,20
2021-02-21,38
2021-02-28,71
