Category: All categories

Week,covid date: (Indiana)
2020-03-01,0
2020-03-08,16
2020-03-15,8
2020-03-22,23
2020-03-29,62
2020-04-05,100
2020-04-12,29
2020-04-19,29
2020-04-26,44
2020-05-03,44
2020-05-10,61
2020-05-17,15
2020-05-24,24
2020-05-31,8
2020-06-07,32
2020-06-14,34
2020-06-21,25
2020-06-28,17
2020-07-05,26
2020-07-12,54
2020-07-19,18
2020-07-26,18
2020-08-02,18
2020-08-09,50
2020-08-16,16
2020-08-23,8
2020-08-30,0
2020-09-06,24
2020-09-13,32
2020-09-20,16
2020-09-27,33
2020-10-04,17
2020-10-11,19
2020-10-18,19
2020-10-25,9
2020-11-01,23
2020-11-08,18
2020-11-15,36
2020-11-22,28
2020-11-29,18
2020-12-06,45
2020-12-13,36
2020-12-20,10
2020-12-27,36
2021-01-03,52
2021-01-10,35
2021-01-17,62
2021-01-24,44
2021-01-31,44
2021-02-07,9
2021-02-14,9
2021-02-21,44
2021-02-28,0
