Category: All categories

Week,covid date: (Iowa)
2020-03-01,0
2020-03-08,17
2020-03-15,36
2020-03-22,33
2020-03-29,100
2020-04-05,34
2020-04-12,16
2020-04-19,47
2020-04-26,32
2020-05-03,94
2020-05-10,16
2020-05-17,16
2020-05-24,17
2020-05-31,49
2020-06-07,17
2020-06-14,68
2020-06-21,35
2020-06-28,55
2020-07-05,0
2020-07-12,18
2020-07-19,18
2020-07-26,18
2020-08-02,37
2020-08-09,0
2020-08-16,55
2020-08-23,33
2020-08-30,0
2020-09-06,33
2020-09-13,16
2020-09-20,0
2020-09-27,0
2020-10-04,19
2020-10-11,61
2020-10-18,0
2020-10-25,40
2020-11-01,16
2020-11-08,56
2020-11-15,38
2020-11-22,0
2020-11-29,0
2020-12-06,38
2020-12-13,0
2020-12-20,21
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,56
2021-02-07,38
2021-02-14,19
2021-02-21,0
2021-02-28,0
