Category: All categories

Week,covid date: (Kansas)
2020-03-01,0
2020-03-08,0
2020-03-15,74
2020-03-22,70
2020-03-29,67
2020-04-05,46
2020-04-12,86
2020-04-19,22
2020-04-26,45
2020-05-03,22
2020-05-10,0
2020-05-17,24
2020-05-24,25
2020-05-31,24
2020-06-07,49
2020-06-14,100
2020-06-21,51
2020-06-28,53
2020-07-05,50
2020-07-12,0
2020-07-19,53
2020-07-26,54
2020-08-02,0
2020-08-09,26
2020-08-16,0
2020-08-23,51
2020-08-30,25
2020-09-06,25
2020-09-13,25
2020-09-20,25
2020-09-27,0
2020-10-04,80
2020-10-11,0
2020-10-18,29
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,27
2020-11-22,83
2020-11-29,53
2020-12-06,0
2020-12-13,55
2020-12-20,0
2020-12-27,85
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,27
2021-02-07,54
2021-02-14,0
2021-02-21,27
2021-02-28,0
