Category: All categories

Week,covid date: (Louisiana)
2020-03-01,0
2020-03-08,0
2020-03-15,14
2020-03-22,100
2020-03-29,28
2020-04-05,57
2020-04-12,42
2020-04-19,80
2020-04-26,55
2020-05-03,82
2020-05-10,28
2020-05-17,28
2020-05-24,0
2020-05-31,0
2020-06-07,42
2020-06-14,0
2020-06-21,29
2020-06-28,46
2020-07-05,15
2020-07-12,61
2020-07-19,0
2020-07-26,31
2020-08-02,31
2020-08-09,15
2020-08-16,15
2020-08-23,0
2020-08-30,15
2020-09-06,15
2020-09-13,0
2020-09-20,14
2020-09-27,0
2020-10-04,0
2020-10-11,17
2020-10-18,0
2020-10-25,35
2020-11-01,14
2020-11-08,16
2020-11-15,50
2020-11-22,17
2020-11-29,0
2020-12-06,16
2020-12-13,17
2020-12-20,0
2020-12-27,17
2021-01-03,16
2021-01-10,16
2021-01-17,32
2021-01-24,32
2021-01-31,32
2021-02-07,48
2021-02-14,17
2021-02-21,16
2021-02-28,0
