Category: All categories

Week,covid date: (Massachusetts)
2020-03-01,6
2020-03-08,6
2020-03-15,17
2020-03-22,56
2020-03-29,43
2020-04-05,60
2020-04-12,69
2020-04-19,48
2020-04-26,16
2020-05-03,27
2020-05-10,33
2020-05-17,39
2020-05-24,57
2020-05-31,27
2020-06-07,44
2020-06-14,23
2020-06-21,18
2020-06-28,48
2020-07-05,18
2020-07-12,55
2020-07-19,36
2020-07-26,31
2020-08-02,48
2020-08-09,30
2020-08-16,62
2020-08-23,18
2020-08-30,0
2020-09-06,49
2020-09-13,28
2020-09-20,29
2020-09-27,55
2020-10-04,45
2020-10-11,28
2020-10-18,42
2020-10-25,28
2020-11-01,18
2020-11-08,34
2020-11-15,61
2020-11-22,7
2020-11-29,61
2020-12-06,33
2020-12-13,42
2020-12-20,66
2020-12-27,21
2021-01-03,80
2021-01-10,62
2021-01-17,54
2021-01-24,40
2021-01-31,68
2021-02-07,54
2021-02-14,35
2021-02-21,46
2021-02-28,100
