Category: All categories

Week,covid date: (Michigan)
2020-03-01,0
2020-03-08,6
2020-03-15,16
2020-03-22,40
2020-03-29,41
2020-04-05,100
2020-04-12,68
2020-04-19,65
2020-04-26,79
2020-05-03,67
2020-05-10,52
2020-05-17,37
2020-05-24,55
2020-05-31,37
2020-06-07,54
2020-06-14,11
2020-06-21,22
2020-06-28,46
2020-07-05,17
2020-07-12,39
2020-07-19,23
2020-07-26,40
2020-08-02,46
2020-08-09,30
2020-08-16,12
2020-08-23,29
2020-08-30,16
2020-09-06,51
2020-09-13,22
2020-09-20,23
2020-09-27,18
2020-10-04,30
2020-10-11,13
2020-10-18,59
2020-10-25,34
2020-11-01,22
2020-11-08,45
2020-11-15,39
2020-11-22,33
2020-11-29,38
2020-12-06,88
2020-12-13,26
2020-12-20,49
2020-12-27,46
2021-01-03,31
2021-01-10,38
2021-01-17,32
2021-01-24,45
2021-01-31,13
2021-02-07,26
2021-02-14,33
2021-02-21,52
2021-02-28,98
