Category: All categories

Week,covid date: (Minnesota)
2020-03-01,7
2020-03-08,15
2020-03-15,21
2020-03-22,50
2020-03-29,61
2020-04-05,54
2020-04-12,46
2020-04-19,79
2020-04-26,54
2020-05-03,67
2020-05-10,41
2020-05-17,28
2020-05-24,7
2020-05-31,21
2020-06-07,14
2020-06-14,15
2020-06-21,38
2020-06-28,24
2020-07-05,38
2020-07-12,39
2020-07-19,31
2020-07-26,63
2020-08-02,8
2020-08-09,15
2020-08-16,24
2020-08-23,23
2020-08-30,8
2020-09-06,31
2020-09-13,30
2020-09-20,45
2020-09-27,23
2020-10-04,33
2020-10-11,63
2020-10-18,35
2020-10-25,43
2020-11-01,15
2020-11-08,25
2020-11-15,100
2020-11-22,68
2020-11-29,58
2020-12-06,16
2020-12-13,50
2020-12-20,27
2020-12-27,18
2021-01-03,25
2021-01-10,0
2021-01-17,42
2021-01-24,42
2021-01-31,9
2021-02-07,17
2021-02-14,17
2021-02-21,17
2021-02-28,65
