Category: All categories

Week,covid date: (Mississippi)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,31
2020-03-29,62
2020-04-05,63
2020-04-12,59
2020-04-19,59
2020-04-26,30
2020-05-03,61
2020-05-10,31
2020-05-17,62
2020-05-24,65
2020-05-31,63
2020-06-07,0
2020-06-14,0
2020-06-21,65
2020-06-28,0
2020-07-05,100
2020-07-12,34
2020-07-19,0
2020-07-26,34
2020-08-02,33
2020-08-09,0
2020-08-16,32
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,36
2020-11-22,0
2020-11-29,35
2020-12-06,0
2020-12-13,71
2020-12-20,38
2020-12-27,70
2021-01-03,0
2021-01-10,0
2021-01-17,34
2021-01-24,67
2021-01-31,69
2021-02-07,69
2021-02-14,0
2021-02-21,0
2021-02-28,0
