Category: All categories

Week,covid date: (Missouri)
2020-03-01,0
2020-03-08,24
2020-03-15,24
2020-03-22,45
2020-03-29,44
2020-04-05,74
2020-04-12,100
2020-04-19,50
2020-04-26,15
2020-05-03,29
2020-05-10,37
2020-05-17,23
2020-05-24,32
2020-05-31,38
2020-06-07,23
2020-06-14,8
2020-06-21,16
2020-06-28,33
2020-07-05,25
2020-07-12,25
2020-07-19,0
2020-07-26,42
2020-08-02,17
2020-08-09,9
2020-08-16,26
2020-08-23,16
2020-08-30,31
2020-09-06,0
2020-09-13,0
2020-09-20,8
2020-09-27,9
2020-10-04,18
2020-10-11,47
2020-10-18,28
2020-10-25,0
2020-11-01,16
2020-11-08,36
2020-11-15,47
2020-11-22,29
2020-11-29,0
2020-12-06,73
2020-12-13,38
2020-12-20,20
2020-12-27,9
2021-01-03,9
2021-01-10,9
2021-01-17,18
2021-01-24,9
2021-01-31,18
2021-02-07,18
2021-02-14,28
2021-02-21,28
2021-02-28,70
