Category: All categories

Week,covid date: (Montana)
2020-03-01,0
2020-03-08,29
2020-03-15,59
2020-03-22,0
2020-03-29,51
2020-04-05,54
2020-04-12,76
2020-04-19,53
2020-04-26,27
2020-05-03,54
2020-05-10,27
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,29
2020-06-21,61
2020-06-28,30
2020-07-05,30
2020-07-12,30
2020-07-19,30
2020-07-26,30
2020-08-02,0
2020-08-09,30
2020-08-16,29
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,55
2020-09-20,0
2020-09-27,31
2020-10-04,0
2020-10-11,33
2020-10-18,65
2020-10-25,0
2020-11-01,0
2020-11-08,31
2020-11-15,64
2020-11-22,0
2020-11-29,0
2020-12-06,33
2020-12-13,67
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,32
2021-01-17,0
2021-01-24,32
2021-01-31,0
2021-02-07,0
2021-02-14,100
2021-02-21,0
2021-02-28,0
