Category: All categories

Week,covid date: (Nebraska)
2020-03-01,21
2020-03-08,0
2020-03-15,43
2020-03-22,62
2020-03-29,20
2020-04-05,84
2020-04-12,20
2020-04-19,41
2020-04-26,20
2020-05-03,80
2020-05-10,42
2020-05-17,21
2020-05-24,22
2020-05-31,21
2020-06-07,0
2020-06-14,23
2020-06-21,23
2020-06-28,24
2020-07-05,24
2020-07-12,48
2020-07-19,48
2020-07-26,24
2020-08-02,24
2020-08-09,46
2020-08-16,22
2020-08-23,0
2020-08-30,0
2020-09-06,22
2020-09-13,0
2020-09-20,44
2020-09-27,0
2020-10-04,24
2020-10-11,26
2020-10-18,51
2020-10-25,26
2020-11-01,43
2020-11-08,48
2020-11-15,50
2020-11-22,0
2020-11-29,25
2020-12-06,74
2020-12-13,51
2020-12-20,0
2020-12-27,51
2021-01-03,49
2021-01-10,25
2021-01-17,49
2021-01-24,25
2021-01-31,100
2021-02-07,0
2021-02-14,25
2021-02-21,0
2021-02-28,0
