Category: All categories

Week,covid date: (Nevada)
2020-03-01,0
2020-03-08,0
2020-03-15,12
2020-03-22,37
2020-03-29,12
2020-04-05,37
2020-04-12,23
2020-04-19,23
2020-04-26,47
2020-05-03,59
2020-05-10,60
2020-05-17,0
2020-05-24,12
2020-05-31,0
2020-06-07,12
2020-06-14,36
2020-06-21,25
2020-06-28,26
2020-07-05,65
2020-07-12,51
2020-07-19,13
2020-07-26,39
2020-08-02,13
2020-08-09,13
2020-08-16,0
2020-08-23,23
2020-08-30,0
2020-09-06,37
2020-09-13,0
2020-09-20,12
2020-09-27,39
2020-10-04,13
2020-10-11,0
2020-10-18,0
2020-10-25,29
2020-11-01,12
2020-11-08,14
2020-11-15,14
2020-11-22,0
2020-11-29,40
2020-12-06,28
2020-12-13,0
2020-12-20,0
2020-12-27,41
2021-01-03,53
2021-01-10,14
2021-01-17,13
2021-01-24,27
2021-01-31,27
2021-02-07,0
2021-02-14,41
2021-02-21,14
2021-02-28,100
