Category: All categories

Week,covid date: (New Hampshire)
2020-03-01,0
2020-03-08,0
2020-03-15,54
2020-03-22,25
2020-03-29,24
2020-04-05,49
2020-04-12,24
2020-04-19,49
2020-04-26,25
2020-05-03,0
2020-05-10,100
2020-05-17,52
2020-05-24,0
2020-05-31,0
2020-06-07,52
2020-06-14,27
2020-06-21,27
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,57
2020-07-26,29
2020-08-02,28
2020-08-09,57
2020-08-16,28
2020-08-23,55
2020-08-30,0
2020-09-06,55
2020-09-13,0
2020-09-20,83
2020-09-27,0
2020-10-04,0
2020-10-11,64
2020-10-18,0
2020-10-25,0
2020-11-01,54
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,62
2020-12-06,31
2020-12-13,32
2020-12-20,33
2020-12-27,31
2021-01-03,30
2021-01-10,31
2021-01-17,31
2021-01-24,31
2021-01-31,0
2021-02-07,95
2021-02-14,61
2021-02-21,32
2021-02-28,0
