Category: All categories

Week,covid date: (New Jersey)
2020-03-01,14
2020-03-08,13
2020-03-15,12
2020-03-22,66
2020-03-29,58
2020-04-05,66
2020-04-12,89
2020-04-19,51
2020-04-26,39
2020-05-03,33
2020-05-10,47
2020-05-17,41
2020-05-24,36
2020-05-31,40
2020-06-07,60
2020-06-14,55
2020-06-21,44
2020-06-28,6
2020-07-05,32
2020-07-12,66
2020-07-19,33
2020-07-26,66
2020-08-02,20
2020-08-09,47
2020-08-16,54
2020-08-23,7
2020-08-30,46
2020-09-06,19
2020-09-13,19
2020-09-20,26
2020-09-27,20
2020-10-04,35
2020-10-11,23
2020-10-18,39
2020-10-25,70
2020-11-01,27
2020-11-08,52
2020-11-15,46
2020-11-22,61
2020-11-29,43
2020-12-06,44
2020-12-13,23
2020-12-20,55
2020-12-27,100
2021-01-03,79
2021-01-10,45
2021-01-17,67
2021-01-24,45
2021-01-31,46
2021-02-07,30
2021-02-14,39
2021-02-21,46
2021-02-28,0
