Category: All categories

Week,covid date: (New York)
2020-03-01,5
2020-03-08,10
2020-03-15,30
2020-03-22,31
2020-03-29,52
2020-04-05,59
2020-04-12,64
2020-04-19,37
2020-04-26,64
2020-05-03,35
2020-05-10,44
2020-05-17,38
2020-05-24,36
2020-05-31,28
2020-06-07,26
2020-06-14,31
2020-06-21,48
2020-06-28,31
2020-07-05,61
2020-07-12,46
2020-07-19,38
2020-07-26,38
2020-08-02,36
2020-08-09,41
2020-08-16,42
2020-08-23,28
2020-08-30,22
2020-09-06,26
2020-09-13,35
2020-09-20,16
2020-09-27,29
2020-10-04,44
2020-10-11,46
2020-10-18,22
2020-10-25,41
2020-11-01,39
2020-11-08,51
2020-11-15,61
2020-11-22,29
2020-11-29,36
2020-12-06,60
2020-12-13,43
2020-12-20,28
2020-12-27,64
2021-01-03,46
2021-01-10,23
2021-01-17,53
2021-01-24,42
2021-01-31,48
2021-02-07,30
2021-02-14,25
2021-02-21,40
2021-02-28,100
