Category: All categories

Week,covid date: (North Carolina)
2020-03-01,0
2020-03-08,0
2020-03-15,30
2020-03-22,50
2020-03-29,60
2020-04-05,90
2020-04-12,81
2020-04-19,55
2020-04-26,42
2020-05-03,49
2020-05-10,17
2020-05-17,66
2020-05-24,62
2020-05-31,17
2020-06-07,33
2020-06-14,28
2020-06-21,53
2020-06-28,24
2020-07-05,48
2020-07-12,43
2020-07-19,30
2020-07-26,55
2020-08-02,18
2020-08-09,12
2020-08-16,33
2020-08-23,32
2020-08-30,16
2020-09-06,39
2020-09-13,43
2020-09-20,28
2020-09-27,0
2020-10-04,30
2020-10-11,27
2020-10-18,14
2020-10-25,7
2020-11-01,18
2020-11-08,26
2020-11-15,40
2020-11-22,34
2020-11-29,19
2020-12-06,13
2020-12-13,40
2020-12-20,28
2020-12-27,53
2021-01-03,56
2021-01-10,45
2021-01-17,45
2021-01-24,44
2021-01-31,51
2021-02-07,44
2021-02-14,13
2021-02-21,19
2021-02-28,100
