Category: All categories

Week,covid date: (Ohio)
2020-03-01,0
2020-03-08,14
2020-03-15,69
2020-03-22,56
2020-03-29,87
2020-04-05,99
2020-04-12,85
2020-04-19,100
2020-04-26,69
2020-05-03,32
2020-05-10,46
2020-05-17,81
2020-05-24,58
2020-05-31,21
2020-06-07,7
2020-06-14,44
2020-06-21,44
2020-06-28,85
2020-07-05,56
2020-07-12,87
2020-07-19,61
2020-07-26,40
2020-08-02,47
2020-08-09,77
2020-08-16,47
2020-08-23,22
2020-08-30,45
2020-09-06,79
2020-09-13,28
2020-09-20,38
2020-09-27,39
2020-10-04,39
2020-10-11,34
2020-10-18,0
2020-10-25,67
2020-11-01,71
2020-11-08,56
2020-11-15,33
2020-11-22,67
2020-11-29,8
2020-12-06,63
2020-12-13,32
2020-12-20,61
2020-12-27,16
2021-01-03,69
2021-01-10,54
2021-01-17,77
2021-01-24,63
2021-01-31,47
2021-02-07,39
2021-02-14,32
2021-02-21,24
2021-02-28,0
