Category: All categories

Week,covid date: (Oklahoma)
2020-03-01,0
2020-03-08,0
2020-03-15,95
2020-03-22,74
2020-03-29,58
2020-04-05,100
2020-04-12,68
2020-04-19,28
2020-04-26,15
2020-05-03,15
2020-05-10,45
2020-05-17,47
2020-05-24,62
2020-05-31,31
2020-06-07,31
2020-06-14,0
2020-06-21,32
2020-06-28,16
2020-07-05,33
2020-07-12,0
2020-07-19,66
2020-07-26,49
2020-08-02,17
2020-08-09,0
2020-08-16,0
2020-08-23,30
2020-08-30,15
2020-09-06,15
2020-09-13,15
2020-09-20,0
2020-09-27,17
2020-10-04,33
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,30
2020-11-08,17
2020-11-15,0
2020-11-22,36
2020-11-29,17
2020-12-06,17
2020-12-13,18
2020-12-20,38
2020-12-27,18
2021-01-03,67
2021-01-10,17
2021-01-17,69
2021-01-24,17
2021-01-31,68
2021-02-07,0
2021-02-14,17
2021-02-21,0
2021-02-28,0
