Category: All categories

Week,covid date: (Oregon)
2020-03-01,0
2020-03-08,8
2020-03-15,32
2020-03-22,39
2020-03-29,37
2020-04-05,100
2020-04-12,37
2020-04-19,51
2020-04-26,66
2020-05-03,30
2020-05-10,22
2020-05-17,15
2020-05-24,46
2020-05-31,29
2020-06-07,37
2020-06-14,23
2020-06-21,24
2020-06-28,17
2020-07-05,8
2020-07-12,8
2020-07-19,59
2020-07-26,42
2020-08-02,17
2020-08-09,8
2020-08-16,25
2020-08-23,17
2020-08-30,33
2020-09-06,15
2020-09-13,30
2020-09-20,0
2020-09-27,17
2020-10-04,18
2020-10-11,29
2020-10-18,19
2020-10-25,19
2020-11-01,39
2020-11-08,18
2020-11-15,18
2020-11-22,10
2020-11-29,74
2020-12-06,19
2020-12-13,38
2020-12-20,40
2020-12-27,0
2021-01-03,36
2021-01-10,18
2021-01-17,37
2021-01-24,73
2021-01-31,46
2021-02-07,28
2021-02-14,48
2021-02-21,37
2021-02-28,0
