Category: All categories

Week,covid date: (Pennsylvania)
2020-03-01,5
2020-03-08,5
2020-03-15,58
2020-03-22,46
2020-03-29,54
2020-04-05,100
2020-04-12,57
2020-04-19,84
2020-04-26,52
2020-05-03,14
2020-05-10,44
2020-05-17,64
2020-05-24,41
2020-05-31,39
2020-06-07,31
2020-06-14,47
2020-06-21,48
2020-06-28,27
2020-07-05,38
2020-07-12,44
2020-07-19,34
2020-07-26,44
2020-08-02,17
2020-08-09,39
2020-08-16,45
2020-08-23,38
2020-08-30,38
2020-09-06,17
2020-09-13,48
2020-09-20,16
2020-09-27,50
2020-10-04,35
2020-10-11,6
2020-10-18,26
2020-10-25,25
2020-11-01,25
2020-11-08,40
2020-11-15,69
2020-11-22,36
2020-11-29,34
2020-12-06,70
2020-12-13,29
2020-12-20,44
2020-12-27,77
2021-01-03,46
2021-01-10,98
2021-01-17,58
2021-01-24,34
2021-01-31,70
2021-02-07,41
2021-02-14,48
2021-02-21,60
2021-02-28,0
