Category: All categories

Week,covid date: (South Carolina)
2020-03-01,0
2020-03-08,0
2020-03-15,18
2020-03-22,52
2020-03-29,52
2020-04-05,70
2020-04-12,51
2020-04-19,98
2020-04-26,34
2020-05-03,68
2020-05-10,35
2020-05-17,34
2020-05-24,51
2020-05-31,34
2020-06-07,68
2020-06-14,52
2020-06-21,36
2020-06-28,37
2020-07-05,37
2020-07-12,38
2020-07-19,38
2020-07-26,38
2020-08-02,38
2020-08-09,57
2020-08-16,0
2020-08-23,18
2020-08-30,54
2020-09-06,18
2020-09-13,17
2020-09-20,0
2020-09-27,19
2020-10-04,0
2020-10-11,20
2020-10-18,21
2020-10-25,21
2020-11-01,0
2020-11-08,40
2020-11-15,21
2020-11-22,21
2020-11-29,100
2020-12-06,40
2020-12-13,0
2020-12-20,43
2020-12-27,40
2021-01-03,19
2021-01-10,39
2021-01-17,60
2021-01-24,78
2021-01-31,20
2021-02-07,20
2021-02-14,60
2021-02-21,0
2021-02-28,0
