Category: All categories

Week,covid date: (Tennessee)
2020-03-01,0
2020-03-08,10
2020-03-15,29
2020-03-22,56
2020-03-29,28
2020-04-05,19
2020-04-12,89
2020-04-19,54
2020-04-26,100
2020-05-03,54
2020-05-10,19
2020-05-17,9
2020-05-24,9
2020-05-31,28
2020-06-07,55
2020-06-14,38
2020-06-21,29
2020-06-28,30
2020-07-05,40
2020-07-12,80
2020-07-19,20
2020-07-26,60
2020-08-02,20
2020-08-09,10
2020-08-16,10
2020-08-23,46
2020-08-30,19
2020-09-06,19
2020-09-13,0
2020-09-20,0
2020-09-27,40
2020-10-04,21
2020-10-11,22
2020-10-18,44
2020-10-25,0
2020-11-01,27
2020-11-08,10
2020-11-15,53
2020-11-22,21
2020-11-29,10
2020-12-06,52
2020-12-13,31
2020-12-20,45
2020-12-27,32
2021-01-03,41
2021-01-10,31
2021-01-17,31
2021-01-24,20
2021-01-31,40
2021-02-07,10
2021-02-14,39
2021-02-21,11
2021-02-28,0
