Category: All categories

Week,covid date: (Texas)
2020-03-01,0
2020-03-08,11
2020-03-15,30
2020-03-22,59
2020-03-29,92
2020-04-05,100
2020-04-12,85
2020-04-19,62
2020-04-26,38
2020-05-03,45
2020-05-10,59
2020-05-17,54
2020-05-24,8
2020-05-31,34
2020-06-07,35
2020-06-14,40
2020-06-21,63
2020-06-28,45
2020-07-05,39
2020-07-12,88
2020-07-19,57
2020-07-26,40
2020-08-02,62
2020-08-09,28
2020-08-16,22
2020-08-23,35
2020-08-30,32
2020-09-06,28
2020-09-13,27
2020-09-20,35
2020-09-27,25
2020-10-04,25
2020-10-11,40
2020-10-18,35
2020-10-25,25
2020-11-01,18
2020-11-08,38
2020-11-15,55
2020-11-22,37
2020-11-29,44
2020-12-06,38
2020-12-13,42
2020-12-20,46
2020-12-27,46
2021-01-03,55
2021-01-10,62
2021-01-17,32
2021-01-24,41
2021-01-31,56
2021-02-07,35
2021-02-14,19
2021-02-21,27
2021-02-28,23
