Category: All categories

Week,covid date: (Virginia)
2020-03-01,0
2020-03-08,12
2020-03-15,45
2020-03-22,55
2020-03-29,38
2020-04-05,100
2020-04-12,91
2020-04-19,53
2020-04-26,43
2020-05-03,43
2020-05-10,34
2020-05-17,49
2020-05-24,34
2020-05-31,11
2020-06-07,22
2020-06-14,51
2020-06-21,47
2020-06-28,61
2020-07-05,30
2020-07-12,12
2020-07-19,48
2020-07-26,35
2020-08-02,35
2020-08-09,6
2020-08-16,17
2020-08-23,57
2020-08-30,23
2020-09-06,16
2020-09-13,11
2020-09-20,11
2020-09-27,29
2020-10-04,36
2020-10-11,32
2020-10-18,19
2020-10-25,19
2020-11-01,28
2020-11-08,32
2020-11-15,33
2020-11-22,28
2020-11-29,70
2020-12-06,25
2020-12-13,13
2020-12-20,43
2020-12-27,34
2021-01-03,25
2021-01-10,39
2021-01-17,19
2021-01-24,51
2021-01-31,13
2021-02-07,13
2021-02-14,26
2021-02-21,39
2021-02-28,0
