Category: All categories

Week,covid date: (Washington)
2020-03-01,5
2020-03-08,5
2020-03-15,41
2020-03-22,45
2020-03-29,65
2020-04-05,100
2020-04-12,49
2020-04-19,21
2020-04-26,47
2020-05-03,26
2020-05-10,22
2020-05-17,26
2020-05-24,40
2020-05-31,17
2020-06-07,17
2020-06-14,22
2020-06-21,28
2020-06-28,9
2020-07-05,19
2020-07-12,30
2020-07-19,30
2020-07-26,25
2020-08-02,29
2020-08-09,10
2020-08-16,34
2020-08-23,19
2020-08-30,0
2020-09-06,14
2020-09-13,30
2020-09-20,27
2020-09-27,10
2020-10-04,25
2020-10-11,32
2020-10-18,22
2020-10-25,5
2020-11-01,39
2020-11-08,31
2020-11-15,42
2020-11-22,22
2020-11-29,11
2020-12-06,49
2020-12-13,44
2020-12-20,40
2020-12-27,54
2021-01-03,35
2021-01-10,46
2021-01-17,10
2021-01-24,16
2021-01-31,16
2021-02-07,36
2021-02-14,5
2021-02-21,26
2021-02-28,0
