Category: All categories

Week,covid date: (Wisconsin)
2020-03-01,0
2020-03-08,21
2020-03-15,61
2020-03-22,59
2020-03-29,39
2020-04-05,88
2020-04-12,84
2020-04-19,94
2020-04-26,39
2020-05-03,0
2020-05-10,39
2020-05-17,30
2020-05-24,31
2020-05-31,10
2020-06-07,52
2020-06-14,43
2020-06-21,11
2020-06-28,44
2020-07-05,0
2020-07-12,45
2020-07-19,56
2020-07-26,100
2020-08-02,33
2020-08-09,66
2020-08-16,34
2020-08-23,22
2020-08-30,42
2020-09-06,51
2020-09-13,21
2020-09-20,21
2020-09-27,11
2020-10-04,57
2020-10-11,50
2020-10-18,62
2020-10-25,87
2020-11-01,10
2020-11-08,59
2020-11-15,48
2020-11-22,49
2020-11-29,23
2020-12-06,12
2020-12-13,36
2020-12-20,52
2020-12-27,73
2021-01-03,58
2021-01-10,95
2021-01-17,59
2021-01-24,12
2021-01-31,37
2021-02-07,12
2021-02-14,12
2021-02-21,12
2021-02-28,89
