Category: All categories

Week,covid date: (Kentucky)
2020-03-01,0
2020-03-08,0
2020-03-15,23
2020-03-22,11
2020-03-29,46
2020-04-05,11
2020-04-12,21
2020-04-19,21
2020-04-26,43
2020-05-03,11
2020-05-10,34
2020-05-17,23
2020-05-24,24
2020-05-31,23
2020-06-07,0
2020-06-14,36
2020-06-21,49
2020-06-28,25
2020-07-05,13
2020-07-12,0
2020-07-19,38
2020-07-26,0
2020-08-02,25
2020-08-09,0
2020-08-16,13
2020-08-23,23
2020-08-30,11
2020-09-06,48
2020-09-13,24
2020-09-20,24
2020-09-27,13
2020-10-04,13
2020-10-11,14
2020-10-18,14
2020-10-25,14
2020-11-01,12
2020-11-08,13
2020-11-15,56
2020-11-22,14
2020-11-29,13
2020-12-06,13
2020-12-13,0
2020-12-20,15
2020-12-27,28
2021-01-03,26
2021-01-10,26
2021-01-17,40
2021-01-24,40
2021-01-31,27
2021-02-07,13
2021-02-14,41
2021-02-21,0
2021-02-28,100
