Category: All categories

Week,covid date: (Maine)
2020-03-01,0
2020-03-08,0
2020-03-15,40
2020-03-22,19
2020-03-29,0
2020-04-05,55
2020-04-12,36
2020-04-19,0
2020-04-26,0
2020-05-03,18
2020-05-10,0
2020-05-17,20
2020-05-24,0
2020-05-31,37
2020-06-07,0
2020-06-14,0
2020-06-21,40
2020-06-28,39
2020-07-05,20
2020-07-12,20
2020-07-19,0
2020-07-26,39
2020-08-02,39
2020-08-09,20
2020-08-16,20
2020-08-23,0
2020-08-30,20
2020-09-06,0
2020-09-13,19
2020-09-20,0
2020-09-27,20
2020-10-04,21
2020-10-11,0
2020-10-18,49
2020-10-25,0
2020-11-01,20
2020-11-08,24
2020-11-15,24
2020-11-22,48
2020-11-29,23
2020-12-06,24
2020-12-13,100
2020-12-20,26
2020-12-27,23
2021-01-03,23
2021-01-10,0
2021-01-17,0
2021-01-24,70
2021-01-31,48
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
