Category: All categories

Week,Covid: (Alabama)
2020-03-01,4
2020-03-08,27
2020-03-15,76
2020-03-22,99
2020-03-29,100
2020-04-05,79
2020-04-12,54
2020-04-19,49
2020-04-26,43
2020-05-03,47
2020-05-10,42
2020-05-17,41
2020-05-24,39
2020-05-31,34
2020-06-07,33
2020-06-14,43
2020-06-21,57
2020-06-28,74
2020-07-05,75
2020-07-12,80
2020-07-19,68
2020-07-26,65
2020-08-02,58
2020-08-09,49
2020-08-16,46
2020-08-23,44
2020-08-30,43
2020-09-06,33
2020-09-13,31
2020-09-20,28
2020-09-27,35
2020-10-04,36
2020-10-11,36
2020-10-18,34
2020-10-25,33
2020-11-01,27
2020-11-08,47
2020-11-15,63
2020-11-22,56
2020-11-29,59
2020-12-06,68
2020-12-13,78
2020-12-20,75
2020-12-27,79
2021-01-03,74
2021-01-10,67
2021-01-17,66
2021-01-24,64
2021-01-31,70
2021-02-07,62
2021-02-14,49
2021-02-21,51
