Category: All categories

Week,Covid: (Arizona)
2020-03-01,4
2020-03-08,20
2020-03-15,60
2020-03-22,75
2020-03-29,81
2020-04-05,68
2020-04-12,58
2020-04-19,49
2020-04-26,53
2020-05-03,47
2020-05-10,45
2020-05-17,43
2020-05-24,40
2020-05-31,36
2020-06-07,50
2020-06-14,78
2020-06-21,94
2020-06-28,93
2020-07-05,85
2020-07-12,75
2020-07-19,58
2020-07-26,56
2020-08-02,44
2020-08-09,41
2020-08-16,36
2020-08-23,33
2020-08-30,35
2020-09-06,31
2020-09-13,31
2020-09-20,32
2020-09-27,45
2020-10-04,43
2020-10-11,37
2020-10-18,39
2020-10-25,46
2020-11-01,38
2020-11-08,58
2020-11-15,81
2020-11-22,69
2020-11-29,77
2020-12-06,88
2020-12-13,85
2020-12-20,81
2020-12-27,85
2021-01-03,92
2021-01-10,100
2021-01-17,88
2021-01-24,73
2021-01-31,72
2021-02-07,61
2021-02-14,53
2021-02-21,55
