Category: All categories

Week,Covid: (Arkansas)
2020-03-01,4
2020-03-08,26
2020-03-15,79
2020-03-22,100
2020-03-29,97
2020-04-05,87
2020-04-12,61
2020-04-19,49
2020-04-26,48
2020-05-03,45
2020-05-10,41
2020-05-17,49
2020-05-24,47
2020-05-31,39
2020-06-07,50
2020-06-14,54
2020-06-21,66
2020-06-28,67
2020-07-05,73
2020-07-12,79
2020-07-19,72
2020-07-26,62
2020-08-02,57
2020-08-09,46
2020-08-16,48
2020-08-23,42
2020-08-30,50
2020-09-06,44
2020-09-13,41
2020-09-20,39
2020-09-27,45
2020-10-04,44
2020-10-11,42
2020-10-18,44
2020-10-25,39
2020-11-01,30
2020-11-08,61
2020-11-15,73
2020-11-22,61
2020-11-29,57
2020-12-06,66
2020-12-13,79
2020-12-20,74
2020-12-27,71
2021-01-03,73
2021-01-10,80
2021-01-17,65
2021-01-24,57
2021-01-31,60
2021-02-07,43
2021-02-14,31
2021-02-21,46
