Category: All categories

Week,Covid: (California)
2020-03-01,7
2020-03-08,28
2020-03-15,70
2020-03-22,75
2020-03-29,81
2020-04-05,73
2020-04-12,61
2020-04-19,54
2020-04-26,51
2020-05-03,48
2020-05-10,51
2020-05-17,48
2020-05-24,43
2020-05-31,35
2020-06-07,41
2020-06-14,48
2020-06-21,64
2020-06-28,79
2020-07-05,73
2020-07-12,79
2020-07-19,64
2020-07-26,61
2020-08-02,53
2020-08-09,45
2020-08-16,40
2020-08-23,36
2020-08-30,38
2020-09-06,33
2020-09-13,32
2020-09-20,35
2020-09-27,46
2020-10-04,44
2020-10-11,37
2020-10-18,40
2020-10-25,44
2020-11-01,33
2020-11-08,58
2020-11-15,89
2020-11-22,73
2020-11-29,86
2020-12-06,96
2020-12-13,100
2020-12-20,99
2020-12-27,100
2021-01-03,92
2021-01-10,95
2021-01-17,84
2021-01-24,77
2021-01-31,70
2021-02-07,65
2021-02-14,58
2021-02-21,60
